date,total_spend
2023-09-05,17044419.92
2023-09-06,262669.44
2023-09-08,361181729.92
2023-09-09,14048.32
2023-09-12,5599549.12
2023-09-15,397540672.32
2023-09-16,438240.0
2023-09-17,4036793.2
2023-09-18,717290.64
2023-09-19,475094.4
2023-09-20,292164.4
2023-09-21,87802.0
2023-09-22,428079662.56
2023-09-24,4270886.4
2023-09-26,88628.31999999999
2023-09-27,1653923.92
2023-09-28,1262902.96
2023-09-29,486054035.28
2023-09-30,6155153.84
2023-10-01,72340245.12
2023-10-02,684420.0
2023-10-03,899839.6
2023-10-04,1583848.64
2023-10-05,2690405.52
2023-10-06,1023760871.76
2023-10-08,4655763.2
2023-10-09,4204316.16
2023-10-10,4113706.08
2023-10-11,587705.36
2023-10-12,967408.64
2023-10-13,444843821.84000003
2023-10-15,4536319.04
2023-10-16,10614929.6
2023-10-18,1012985.6
2023-10-19,956326.7999999999
2023-10-20,511490582.24
2023-10-22,7099044.48
2023-10-23,608740234.08
2023-10-24,709341.6
2023-10-26,460394.88
2023-10-27,578238091.2
2023-10-28,910140.0
2023-10-29,6713674.88
2023-10-30,-1146353.1199999999
2023-10-31,11453201.76
2023-11-01,17338156.0
2023-11-02,683760.0
2023-11-03,559361670.5600001
2023-11-05,6332751.04
2023-11-06,336600.0
2023-11-07,961338.3999999999
2023-11-08,528000.0
2023-11-09,3578402.08
2023-11-10,551080894.32
2023-11-12,6885592.56
2023-11-14,528000.0
2023-11-15,1592687.36
2023-11-17,551798552.8
2023-11-19,7751238.88
2023-11-21,2946694.08
2023-11-22,2617790.56
2023-11-24,541166963.92
2023-11-26,6391397.760000001
2023-11-27,280720.0
2023-11-28,999962.48
2023-11-29,3247555.5199999996
2023-11-30,31271655.36
2023-12-01,660132416.24
2023-12-03,9067674.0
2023-12-04,3987991.04
2023-12-05,424090.48
2023-12-06,1408176.0
2023-12-07,2726753.92
2023-12-08,562269303.2
2023-12-09,83754.0
2023-12-10,8874432.16
2023-12-11,1107458354.6399999
2023-12-12,587840.0
2023-12-13,1763951.1999999997
2023-12-14,1239039.1199999999
2023-12-15,562567769.28
2023-12-17,9028581.76
2023-12-18,36256.0
2023-12-19,892004.08
2023-12-20,165320.32000001144
2023-12-21,5164309.04
2023-12-22,537156576.88
2023-12-24,8341799.84
2023-12-26,2359329.2800000003
2023-12-27,6593845.279999999
2023-12-28,221425.60000000102
2023-12-29,537478362.96
2023-12-30,282304.0
2023-12-31,94201181.36
2024-01-01,50070592.0
2024-01-02,620840.0
2024-01-03,580339687.8399999
2024-01-04,13355295.36
2024-01-05,553611894.0
2024-01-07,8269198.079999999
2024-01-09,140483.2
2024-01-10,372277.83999999997
2024-01-12,553937656.8
2024-01-14,9988765.6
2024-01-16,5521169.279999999
2024-01-17,59705.36
2024-01-18,37648.159999999996
2024-01-19,581026253.28
2024-01-21,9824524.16
2024-01-22,19261459.36
2024-01-23,26621731.84
2024-01-24,479540.16
2024-01-26,580167776.32
2024-01-28,10226772.16
2024-01-29,1559692.64
2024-01-30,767770.08
2024-01-31,81583208.08
2024-02-01,46353809.92
2024-02-02,639627688.48
2024-02-05,4355669.12
2024-02-07,1326240826.24
2024-02-08,633362.4
2024-02-09,563958632.16
2024-02-11,9988608.959999999
2024-02-12,73453890.4
2024-02-13,1612966.96
2024-02-14,67289164.80000001
2024-02-16,718255129.68
2024-02-18,8686502.879999999
2024-02-19,2978506.08
2024-02-20,528000.0
2024-02-22,21321072.080000002
2024-02-23,747066565.52
2024-02-25,7970487.36
2024-02-26,198138123.92000002
2024-02-27,3916528.0
2024-02-28,279352.48
2024-02-29,22908394.96
2024-03-01,533752200.96
2024-03-03,8111120.16
2024-03-04,274536.24
2024-03-07,368635.52
2024-03-08,517912227.36
2024-03-10,7725129.279999999
2024-03-13,528000.0
2024-03-14,58446.079999999994
2024-03-15,519113257.52
2024-03-17,7001477.12
2024-03-18,7150065.999999999
2024-03-19,3541215.92
2024-03-21,1937904.3199999998
2024-03-22,485635215.12
2024-03-24,6839648.64
2024-03-25,73920.0
2024-03-26,398467780.48
2024-03-27,269398.8
2024-03-28,16166179.92
2024-03-29,504910199.2
2024-03-30,586784.0
2024-03-31,30670483.359999996
2024-04-01,196657626.0
2024-04-02,630280.64
2024-04-03,51742692.32
2024-04-04,13337033.600000001
2024-04-05,495214325.76
2024-04-07,7099473.92
2024-04-09,1218899278.08
2024-04-11,-257209.03999999998
2024-04-12,481198057.12
2024-04-14,6230095.52
2024-04-16,528000.0
2024-04-17,52303804.080000006
2024-04-19,467659850.24
2024-04-21,4033458.8800000004
2024-04-23,528000.0
2024-04-24,833253.52
2024-04-25,145696487.2
2024-04-26,428679831.36
2024-04-28,4899438.720000001
2024-04-30,28003970.72
2024-05-01,150290878.32
2024-05-02,674018.4
2024-05-03,409031660.4
2024-05-05,4703640.4799999995
2024-05-07,692184.24
2024-05-08,821215649.76
2024-05-09,58856548.95999999
2024-05-10,547459425.04
2024-05-11,100291458.96000001
2024-05-12,4240368.0
2024-05-14,1097360.0
2024-05-15,46934359.12
2024-05-16,92220.48000000001
2024-05-17,393064296.24
2024-05-19,4849732.8
2024-05-21,44004047.12
2024-05-23,112659.35999999999
2024-05-24,356674661.2
2024-05-28,88671704.0
2024-05-29,43338755.68000001
2024-05-31,364709424.64
2024-06-01,1679744.0
2024-06-03,711262186.8000001
2024-06-05,39488794.4
2024-06-06,452641.2
2024-06-07,391547657.6
2024-06-10,3593130.64
2024-06-12,12433452.239999998
2024-06-13,1236296.1600000262
2024-06-14,343932949.36
2024-06-17,452635276.71999997
2024-06-20,27044.16
2024-06-21,336938275.52
2024-06-24,102964611.2
2024-06-25,401077.60000000003
2024-06-26,30211.28
2024-06-27,158224.0
2024-06-28,297800405.76
2024-06-30,22469405.2
2024-07-01,121688881.6
2024-07-02,25570.16
2024-07-03,80549187.84
2024-07-04,379899.52
2024-07-05,292509616.08
2024-07-08,36443827.2
2024-07-10,2665370.4
2024-07-11,22946326.48
2024-07-12,315662930.0
2024-07-15,475837407.76
2024-07-16,36528.8
2024-07-17,31284792.0
2024-07-19,273783473.04
2024-07-22,69572411.03999999
2024-07-25,28927858.080000013
2024-07-26,268964069.44
2024-07-30,1700740.7999999998
2024-07-31,98916828.55999997
2024-08-01,141270152.32000005
2024-08-02,289626820.56
2024-08-03,73057.6
2024-08-04,87669.12
2024-08-06,2685795.2
2024-08-07,36357321.44
2024-08-09,268693084.88
2024-08-10,31866.56
2024-08-12,2219184.0
2024-08-13,65057485.68
2024-08-16,318201867.28000003
2024-08-19,30385393.28
2024-08-22,8159805.279999999
2024-08-23,269493503.84000003
2024-08-26,13433499.2
2024-08-27,98971639.36
2024-08-30,267691632.56
2024-08-31,22468236.56
2024-09-01,40677120.0
2024-09-03,27210480.0
2024-09-04,2019204.88
2024-09-05,40368694.96
2024-09-06,285253104.4
2024-09-09,2176099.2
2024-09-10,38011599.12
2024-09-13,300417570.64
2024-09-16,2024352.0
2024-09-18,26435760.56
